mon,th,tl,Ra.fernandez,Sunshine,Eto.GS,Eto.HG,Eto.Hamon,Eto.TW
1,18.1,9.3,18.9,10,28.4,51.5,65.8,36
2,17.9,10,24,10.8,31.3,56.4,72.2,40.2
3,18,10.9,30.1,11.8,42.3,75.1,81.1,46.5
4,19.1,12.1,36.1,12.9,52.5,89.9,94.8,57.8
5,20.1,14.1,40,13.8,60.7,99.4,110.7,72.1
6,21.4,15.8,41.5,14.2,64.7,100.8,125.7,86.8
7,23.2,17.6,40.6,14,72.6,107,137.4,100.1
8,23.8,17.9,37.4,13.2,70.5,102.3,133.3,98.3
9,23.7,17.3,32.1,12.2,59.3,87.1,120.1,87.7
10,22.5,15.2,25.6,11.1,47.7,73.9,99.4,69.1
11,20.5,11.8,20,10.2,33.5,56.5,77.8,48.6
12,18.1,9.3,17.5,9.8,26.2,47.6,64.1,35.1
