1AL60355         13653N00654E     13656N00657E   7      SKIKDA                            SKIKDA                                        Skikda                ALGERIA                                           
1AL60360         13650N00749E     33650N00749E   4      ANNABA (Les Salines)              ANNABA                                        Annaba                ALGERIA                                           
1AL60390         13643N00315E    243643N00315E  25      ALGER ( dar el beida )            DAR-EL-BEIDA                                  Dar-El-Beida          ALGERIA                                           
1AL60402         13645N00504E     23643N00504E   2      BEJAIA                            BEJAIA                                        Bejaia                ALGERIA                                           
1AL60419         13617N00637E   6943617N00637E 694      CONSTANTINE (Ain El Bey)          CONSTANTINE                                   Constantine           ALGERIA                                           
1AL60425         13613N00120E   1433613N00120E 143      CHLEF                             CHLEF                                         Chlef                 ALGERIA                                           
1AL60430         13618N00214E   7153618N00214E 715      MILIANA                           MILIANA                                       Miliana               ALGERIA                                           
1AL60468         13543N00621E   8273533N00611E1052      BATNA                             BATNA                                         Batna                 ALGERIA                                           
1AL60475         13525N00807E   8203529N00808E 813      TEBESSA                           TEBESSA                                       Tebessa               ALGERIA                                           
1AL60490         13538N00036W    903538N00036W  90      ORAN ( es senia )                 ORAN/ES SENIA                                 Oran/Es Senia         ALGERIA                                           
1AL60525         13448N00544W    863448N00544E  87      BISKRA                            BISKRA                                        Biskra                ALGERIA                                           
1AL60535         13441N00315E  11443441N00315E1144      DJELFA                            DJELFA                                        Djelfa                ALGERIA                                           
1AL60559         13330N00647E    623330N00607E  63      EL OUED ( guemmar )               EL OUED                                       El Oued               ALGERIA                                           
1AL60566         13224N00348E   4683223N00349E 450      GHARDAIA                          GHARDAIA                                      Ghardaia              ALGERIA                                           
1AL60571         13138N00215W   8073137N00214W 773      BECHAR                            BECHAR                                        Bechar                ALGERIA                                           
1AL60581         13140N00629E   1423140N00609E 142      HASSI MESSAOUD                    HASSI-MESSAOUD                                Hassi-Messaoud        ALGERIA                                           
1AL60590         13034N00252E   3973034N00252E 397      EL GOLEA                          EL GOLEA                                      El Golea              ALGERIA                                           
1AL60602         13008N00210W   4993008N00210W 499      BENI ABBES                        BENI ABBES                                    Beni Abbes            ALGERIA                                           
1AL60607         12915N00017E   3122915N00017E 312      TIMIMOUN                          TIMIMOUN                                      Timimoun              ALGERIA                                           
